id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
15,COMP_M,6G_DRONE_2,Image_Acquisition,Image_Acquirement,15,40,28,11,Camera,0.0,10000,10000.0,10000.0,10000.0
16,COMP_M,6G_DRONE_2,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,16,41,29,11,IMU,0.0,10000,10000.0,10000.0,10000.0
17,COMP_M,6G_DRONE_3,Image_Acquisition,Image_Acquirement,21,45,32,15,Camera,0.0,10000,10000.0,10000.0,10000.0
18,COMP_M,6G_DRONE_3,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,22,46,33,15,IMU,0.0,10000,10000.0,10000.0,10000.0
19,COMP_M,6G_DRONE_4,Image_Acquisition,Image_Acquirement,27,50,36,19,Camera,0.0,10000,10000.0,10000.0,10000.0
20,COMP_M,6G_DRONE_4,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,28,51,37,19,IMU,0.0,10000,10000.0,10000.0,10000.0
21,COMP_M,6G_DRONE_0,Image_Acquisition,Image_Acquirement,0,30,0,3,Camera,0.0,10010,10010.0,10010.0,10010.0
22,COMP_M,6G_DRONE_0,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,31,1,3,IMU,0.0,10010,10010.0,10010.0,10010.0
23,COMP_M,6G_DRONE_1,Image_Acquisition,Image_Acquirement,6,35,4,7,Camera,0.0,10010,10010.0,10010.0,10010.0
24,COMP_M,6G_DRONE_1,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,7,36,5,7,IMU,0.0,10010,10010.0,10010.0,10010.0
25,COMP_M,6G_DRONE_2,Image_Acquisition,Image_Acquirement,12,40,8,11,Camera,0.0,10010,10010.0,10010.0,10010.0
26,COMP_M,6G_DRONE_2,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,13,41,9,11,IMU,0.0,10010,10010.0,10010.0,10010.0
