,Edge/Drone Compute Power Ratio,Image Processing Time
0,2,3598.4299200000005
1,3,3499.806586666666
2,4,3450.49492
3,5,3420.90792
4,6,3401.1832533333336
5,7,3387.094205714285
6,8,3376.527420000001
7,9,3368.308808888889
8,10,3361.73392
9,11,3356.354465454546
10,12,3351.871586666666
11,13,3348.078381538461
12,14,3344.827062857143
13,15,3342.0092533333336
14,16,3339.54367
15,17,3337.368155294118
16,18,3335.4343644444452
17,19,3333.704130526316
