id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,0.0,10.0,10.0,10.0,10.0
2,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,0.0,10.0,10.0,10.0,10.0
1,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,3,Image_Acquisition,26.632,833.13984,859.77184,10.0,833.13984
2,COMP_M,6G_Drone,MSCKF_Update,Inertial_Data,4,6,2,3,IMU_Measurement_Acquisition,0.0,833.14544,833.14544,10.0,833.14544
1,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,3,3,Feature_Extraction,2.955,859.77184,862.72684,859.77184,859.77184
1,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,3,2,MSCKF_Update,0.0,862.7274,862.7274,862.72684,862.7274
1,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,862.7274,862.7274,862.7274,862.7274
