id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,0.0,10.0,10.0,10.0,10.0
2,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,0.0,10.0,10.0,10.0,10.0
1,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,3,Image_Acquisition,26.632,342.5817535353535,369.21375353535353,10.0,342.5817535353535
2,COMP_M,6G_Drone,MSCKF_Update,Inertial_Data,4,6,2,3,IMU_Measurement_Acquisition,0.0,342.58401616161615,342.58401616161615,10.0,342.58401616161615
1,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,3,3,Feature_Extraction,2.955,369.21375353535353,372.1687535353535,369.21375353535353,369.21375353535353
1,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,3,2,MSCKF_Update,0.0,372.1693135353535,372.1693135353535,372.1687535353535,372.1693135353535
1,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,372.1693135353535,372.1693135353535,372.1693135353535,372.1693135353535
