id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,2,6G_Drone,0.0,Image_Acquirement,10,0,0
2,LINK,1,2,6G_Drone,0.0,Inertial_Data_Acquirement,10,0,1
1,LINK,2,3,6G_Drone,411.56992,Image,10.0,41156992.0,0
2,LINK,2,3,6G_Drone,0.0028,Inertial_Data,10.0,280,1
1,LINK,3,2,6G_Drone,0.00056,Corrected_Pose,451.15692,56,0
1,LINK,2,5,6G_Drone,0.0,Pose_Prediction,451.15748,0,0
