id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,2,6G_Drone,0.0,Image_Acquirement,10,0,0
2,LINK,1,2,6G_Drone,0.0,Inertial_Data_Acquirement,10,0,1
2,LINK,2,3,6G_Drone,0.0022626262626262625,Inertial_Data,10.0,280,0
1,LINK,2,3,6G_Drone,0.031062626262626264,Extracted Features,542.64,3844,0
1,LINK,3,2,6G_Drone,0.00056,Corrected_Pose,545.6260626262626,56,0
1,LINK,2,5,6G_Drone,0.0,Pose_Prediction,545.6266226262626,0,0
