,10.000000,548.67076
0,20.0,547.13316
1,30.0,546.6206266666667
2,40.0,546.3643599999998
3,50.0,546.2106
4,60.0,546.1080933333333
5,70.0,546.0348742857143
6,80.0,545.97996
7,90.0,545.9372488888888
8,100.0,545.9030799999998
9,110.0,545.8751236363636
10,120.0,545.8518266666666
11,130.0,545.8321138461538
12,140.0,545.8152171428571
13,150.0,545.8005733333333
14,160.0,545.7877599999998
15,170.0,545.7764541176471
16,180.0,545.7664044444442
17,190.0,545.757412631579
18,200.0,545.74932
19,210.0,545.741998095238
20,220.0,545.7353418181818
21,230.0,545.7292643478262
22,240.0,545.7236933333334
23,250.0,545.718568
24,260.0,545.7138369230769
25,270.0,545.7094562962964
26,280.0,545.7053885714286
27,290.0,545.7016013793103
28,300.0,545.6980666666666
29,310.0,545.69476
30,320.0,545.69166
31,330.0,545.6887478787878
32,340.0,545.6860070588235
33,350.0,545.6834228571429
34,360.0,545.6809822222223
35,370.0,545.6786735135134
36,380.0,545.6764863157895
37,390.0,545.6744112820512
38,400.0,545.6724399999998
39,410.0,545.6705648780487
40,420.0,545.6687790476191
41,430.0,545.6670762790699
42,440.0,545.6654509090909
43,450.0,545.6638977777777
44,460.0,545.6624121739129
45,470.0,545.6609897872339
46,480.0,545.6596266666667
47,490.0,545.6583191836735
48,500.0,545.657064
49,510.0,545.6558580392157
50,520.0,545.6546984615385
51,530.0,545.6535826415094
52,540.0,545.6525081481482
53,550.0,545.6514727272727
54,560.0,545.6504742857144
55,570.0,545.6495108771928
56,580.0,545.6485806896552
57,590.0,545.6476820338983
58,600.0,545.6468133333333
59,610.0,545.645973114754
60,620.0,545.6451599999998
61,630.0,545.6443726984127
62,640.0,545.64361
63,650.0,545.6428707692306
64,660.0,545.6421539393939
65,670.0,545.6414585074626
66,680.0,545.6407835294117
67,690.0,545.640128115942
68,700.0,545.6394914285714
69,710.0,545.6388726760563
70,720.0,545.6382711111112
71,730.0,545.6376860273972
72,740.0,545.6371167567568
73,750.0,545.6365626666667
74,760.0,545.6360231578947
75,770.0,545.6354976623377
76,780.0,545.6349856410257
77,790.0,545.6344865822783
78,800.0,545.634
79,810.0,545.6335254320987
80,820.0,545.6330624390242
81,830.0,545.6326106024096
82,840.0,545.6321695238095
83,850.0,545.6317388235293
84,860.0,545.6313181395349
85,870.0,545.6309071264368
86,880.0,545.6305054545454
87,890.0,545.6301128089888
88,900.0,545.6297288888887
89,910.0,545.6293534065934
90,920.0,545.6289860869565
91,930.0,545.6286266666666
92,940.0,545.628274893617
93,950.0,545.6279305263158
94,960.0,545.6275933333333
95,970.0,545.6272630927833
96,980.0,545.6269395918367
97,990.0,545.6266226262626
