,Uplink Rate,Image Processing Time
0,20.0,16502.384360000004
1,30.0,11014.785426666667
2,40.0,8270.98596
3,50.0,6624.7062799999985
4,60.0,5527.186493333334
5,70.0,4743.243788571429
6,80.0,4155.28676
7,90.0,3697.986848888889
8,100.0,3332.14692
9,110.0,3032.8233418181817
10,120.0,2783.3870266666668
11,130.0,2572.325529230769
12,140.0,2391.4156742857144
13,150.0,2234.627133333333
14,160.0,2097.43716
15,170.0,1976.387183529412
16,180.0,1868.7872044444448
17,190.0,1772.5135389473685
18,200.0,1685.8672399999996
19,210.0,1607.4729695238095
20,220.0,1536.2054509090908
21,230.0,1471.1351078260868
22,240.0,1411.4872933333334
23,250.0,1356.611304
24,260.0,1305.9565446153845
25,270.0,1259.0539896296295
26,280.0,1215.5016171428572
27,290.0,1174.9528565517242
28,300.0,1137.1073466666667
29,310.0,1101.7034825806452
30,320.0,1068.51236
31,330.0,1037.3328206060603
32,340.0,1007.9873717647058
33,350.0,980.3188057142855
34,360.0,954.187382222222
35,370.0,929.468468108108
36,380.0,906.0505494736839
37,390.0,883.8335497435896
38,400.0,862.7274
39,410.0,842.6508185365852
40,420.0,823.5302647619047
41,430.0,805.2990390697673
42,440.0,787.8965054545455
43,450.0,771.2674177777777
44,460.0,755.3613339130434
45,470.0,740.1321046808513
46,480.0,725.5374266666665
47,490.0,711.5384497959183
48,500.0,698.099432
49,510.0,685.1874345098039
50,520.0,672.7720523076922
51,530.0,660.8251750943396
52,540.0,649.3207748148147
53,550.0,638.2347163636363
54,560.0,627.5445885714286
55,570.0,617.229552982456
56,580.0,607.2702082758619
57,590.0,597.6484684745762
58,600.0,588.3474533333333
59,610.0,579.3513895081967
60,620.0,570.6455212903227
61,630.0,562.2160298412698
62,640.0,554.0499599999998
63,650.0,546.1351538461538
64,660.0,538.4601903030301
65,670.0,531.0143301492537
66,680.0,523.7874658823529
67,690.0,516.7700759420289
68,700.0,509.9531828571428
69,710.0,503.32831492957746
70,720.0,496.8874711111112
71,730.0,490.6230887671234
72,740.0,484.52801405405404
73,750.0,478.5954746666667
74,760.0,472.819054736842
75,770.0,467.1926716883117
76,780.0,461.7105548717949
77,790.0,456.3672258227848
78,800.0,451.15748
79,810.0,446.0763698765432
80,820.0,441.11918926829264
81,830.0,436.2814587951806
82,840.0,431.5589123809524
83,850.0,426.94748470588235
84,860.0,422.44329953488364
85,870.0,418.0426588505747
86,880.0,413.7420327272727
87,890.0,409.5380498876405
88,900.0,405.4274888888888
89,910.0,401.4072698901099
90,920.0,397.47444695652166
91,930.0,393.626200860215
92,940.0,389.8598323404257
93,950.0,386.1727557894736
94,960.0,382.56249333333335
95,970.0,379.02666927835054
96,980.0,375.5630048979592
97,990.0,372.16931353535347
