,Edge/Drone Compute Power Ratio,Image Processing Time
0,2,717.44048
1,3,618.8171466666666
2,4,569.5054799999998
3,5,539.9184799999998
4,6,520.1938133333333
5,7,506.10476571428563
6,8,495.53798
7,9,487.31936888888885
8,10,480.74448000000007
9,11,475.3650254545455
10,12,470.8821466666667
11,13,467.0889415384616
12,14,463.8376228571429
13,15,461.0198133333333
14,16,458.5542300000001
15,17,456.3787152941177
16,18,454.4449244444445
17,19,452.7146905263159
